,Wavelength,QE,dQE
0,336,0.57,0.05
1,338,0.57,0.05
2,340,0.57,0.05
3,342,0.57,0.05
4,344,0.57,0.05
5,346,0.57,0.05
6,348,0.57,0.05
7,350,0.57,0.05
8,352,0.57,0.05
9,354,0.57,0.05
10,356,0.57,0.05
11,358,0.57,0.05
12,360,0.57,0.05
13,362,0.57,0.05
14,364,0.57,0.05
15,366,0.57,0.05
16,368,0.57,0.05
17,370,0.57,0.05
18,372,0.57,0.05
19,374,0.57,0.05
20,376,0.57,0.05
21,378,0.57,0.05
22,380,0.57,0.05
23,382,0.57,0.05
24,384,0.57,0.05
25,386,0.57,0.05
26,388,0.57,0.05
27,390,0.57,0.05
28,392,0.57,0.05
29,394,0.57,0.05
30,396,0.57,0.05
31,398,0.57,0.05
32,400,0.57,0.05
33,402,0.5875322803106662,0.05
34,404,0.6046814905436658,0.05
35,406,0.6210645606213324,0.05
36,408,0.6362984204659994,0.05
37,410,0.65,0.05
38,412,0.6619292992233345,0.05
39,414,0.672418598446669,0.05
40,416,0.6819432480583362,0.05
41,418,0.690978598446669,0.05
42,420,0.7,0.05
43,422,0.7093905227959958,0.05
44,424,0.7191641156696583,0.05
45,426,0.7292424471453227,0.05
46,428,0.7395471857473248,0.05
47,430,0.75,0.05
48,432,0.7605086095926821,0.05
49,434,0.7709249388746979,0.05
50,436,0.7810869633603726,0.05
51,438,0.7908326585640317,0.05
52,440,0.8,0.05
53,442,0.808415038833276,0.05
54,444,0.8158561288315503,0.05
55,446,0.8220896994131867,0.05
56,448,0.8268821799965486,0.05
57,450,0.83,0.05
58,452,0.8313512350742138,0.05
59,454,0.8314105457991009,0.05
60,456,0.8307942389868809,0.05
61,458,0.830118621449774,0.05
62,460,0.83,0.05
63,462,0.8309800208698682,0.05
64,464,0.8333016879720458,0.05
65,466,0.8371333446392895,0.05
66,468,0.8426433342043553,0.05
67,470,0.85,0.05
68,472,0.8592086814463129,0.05
69,474,0.8696227023127153,0.05
70,476,0.8804323824559611,0.05
71,478,0.8908280417328046,0.05
72,480,0.9,0.05
73,482,0.90730525334488,0.05
74,484,0.9127675027770932,0.05
75,486,0.916577125536866,0.05
76,488,0.918924498864426,0.05
77,490,0.92,0.05
78,492,0.9200503051741672,0.05
79,494,0.9195472865789128,0.05
80,496,0.9190191153965752,0.05
81,498,0.9189939628094916,0.05
82,500,0.92,0.05
83,502,0.922493525958452,0.05
84,504,0.9266433509072558,0.05
85,506,0.9325464128768336,0.05
86,508,0.9402996498976076,0.05
87,510,0.95,0.05
88,512,0.9614955909920248,0.05
89,514,0.9736393097920638,0.05
90,516,0.9850352330960904,0.05
91,518,0.9942874376000778,0.05
92,520,1.0,0.05
93,522,1.0012041100734483,0.05
94,524,0.9986394099244889,0.05
95,526,0.9934726547388048,0.05
96,528,0.9868705997020806,0.05
97,530,0.98,0.05
98,532,0.9737679687141814,0.05
99,534,0.9680430505099812,0.05
100,536,0.9624341479486904,0.05
101,538,0.9565501635915996,0.05
102,540,0.95,0.05
103,542,0.942524015069826,0.05
104,544,0.9343883880355864,0.05
105,546,0.9259907534664338,0.05
106,548,0.9177287459315208,0.05
107,550,0.91,0.05
108,552,0.903175971006515,0.05
109,554,0.8975233973476738,0.05
110,556,0.8932828381855749,0.05
111,558,0.8906948526823173,0.05
112,560,0.89,0.05
113,562,0.891332100904114,0.05
114,564,0.8943980225737188,0.05
115,566,0.8987978937912668,0.05
116,568,0.90413184333921,0.05
117,570,0.91,0.05
118,572,0.9159756253770291,0.05
119,574,0.9215245123574508,0.05
120,576,0.9260855866493576,0.05
121,578,0.929097773960843,0.05
122,580,0.93,0.05
123,582,0.9283653975877688,0.05
124,584,0.924303927996478,0.05
125,586,0.9180597596113028,0.05
126,588,0.9098770608174184,0.05
127,590,0.9,0.05
128,592,0.8888027842718951,0.05
129,594,0.8771797756566372,0.05
130,596,0.8661553749054316,0.05
131,598,0.8567539827694841,0.05
132,600,0.85,0.05
133,602,0.846583465324651,0.05
134,604,0.8458569693769736,0.05
135,606,0.8468387407669707,0.05
136,608,0.8485470081046452,0.05
137,610,0.85,0.05
138,612,0.850463354429501,0.05
139,614,0.8501923468354684,0.05
140,616,0.8496896620266852,0.05
141,618,0.8494579848119346,0.05
142,620,0.85,0.05
143,622,0.8515631169573445,0.05
144,624,0.8533736432811527,0.05
145,626,0.8544026111262882,0.05
146,628,0.853621052647616,0.05
147,630,0.85,0.05
148,632,0.8428841777411205,0.05
149,634,0.833113080039921,0.05
