Wavelength,QE183,dQE,QE294
336,0.0,0.03,0.0
338,0.018375,0.03,0.02025
340,0.03675,0.03,0.0405
342,0.0551249999999999,0.03,0.06075
344,0.0735,0.03,0.081
346,0.091875,0.03,0.10125
348,0.1102499999999999,0.03,0.1215
350,0.128625,0.03,0.14175000000000001
352,0.147,0.03,0.162
354,0.165375,0.03,0.18225
356,0.18375,0.03,0.2025
358,0.202125,0.03,0.22275
360,0.2204999999999999,0.03,0.243
362,0.2388749999999999,0.03,0.26325
364,0.25725,0.03,0.28350000000000003
366,0.275625,0.03,0.30375
368,0.294,0.03,0.324
370,0.3123749999999999,0.03,0.34425
372,0.33075,0.03,0.3645
374,0.3491249999999999,0.03,0.38475000000000004
376,0.3675,0.03,0.405
378,0.3858749999999999,0.03,0.42525
380,0.40425,0.03,0.4455
382,0.422625,0.03,0.46575
384,0.4409999999999999,0.03,0.486
386,0.459375,0.03,0.50625
388,0.4777499999999999,0.03,0.5265
390,0.496125,0.03,0.5467500000000001
392,0.5145,0.03,0.5670000000000001
394,0.532875,0.03,0.58725
396,0.55125,0.03,0.6075
398,0.5696249999999999,0.03,0.62775
400,0.588,0.03,0.648
402,0.593712,0.03,0.65376
404,0.599424,0.03,0.65952
406,0.605136,0.03,0.66528
408,0.610848,0.03,0.67104
410,0.61656,0.03,0.6768000000000001
412,0.6222719999999999,0.03,0.6825600000000001
414,0.627984,0.03,0.68832
416,0.633696,0.03,0.69408
418,0.639408,0.03,0.69984
420,0.64512,0.03,0.7056
422,0.650832,0.03,0.71136
424,0.656544,0.03,0.71712
426,0.662256,0.03,0.72288
428,0.667968,0.03,0.7286400000000001
430,0.6736800000000001,0.03,0.7344
432,0.679392,0.03,0.74016
434,0.6851039999999999,0.03,0.74592
436,0.690816,0.03,0.75168
438,0.696528,0.03,0.75744
440,0.70224,0.03,0.7632
442,0.707952,0.03,0.7689600000000001
444,0.7136640000000001,0.03,0.7747200000000001
446,0.719376,0.03,0.7804800000000001
448,0.725088,0.03,0.78624
450,0.7308,0.03,0.792
452,0.73416,0.03,0.7956000000000001
454,0.73752,0.03,0.7992
